Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132,2276,,,,
Africa Eastern and Southern,AFE,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,152300,160400,157100,155800,150400,173500,193500,161800,170300,188200,204800,211800,206700,208000,207500,211900,195400,203000,202200,220100,232100,227200,220400,233800,233400,212500,231500,259600,253900,268400,282913,288922,267907,289028,300359,321298,319498,359120,318638,327145,470912.3001,500629.9466,514462.2894,548834.772,534810.3035,556341,562927,630147,705127.4846,717795.3,286064.1974,399895.848,
Afghanistan,AFG,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,4000,4700,4800,3700,4300,4700,4500,4900,4800,4900,4200,4200,5400,5700,6200,6400,5800,6000,5900,5200,5300,5300,5300,5100,7000,7300,7500,4600,1900,3400,3409,,,,,,,,,,21677,25021,17775,21696,25920,23532,22770,24207,10454,7334,4635.714,2865.737,
Africa Western and Central,AFW,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,67700,67600,67600,72400,69700,79700,88300,100800,105700,112800,116600,122800,116700,121300,119100,122300,109400,103600,98300,91400,85000,94700,81900,68900,70100,66400,62100,78000,78400,69400,71122,60104,52346,49482,56301,,,,,,120773.32,138169.4979,146632.9603,155038,145526.8233,164614,157788,151203,157126.7265,158874.79,92611.349,134532.013,
Angola,AGO,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,2600,4800,5000,11900,12800,15000,13900,22400,10700,13100,11100,11100,11000,6800,6900,7000,6900,5600,7600,7300,7700,7300,7400,5100,4399,4354,4343,4633,4849,4948,4965,5277,3361,3236,17060,12282,13072,14496,13716,13116,15482,13494,13978,13647,3792,3805,
Albania,ALB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,600,1400,1900,1100,2700,3885,3974,3762,3800,4104,4309,4481,4930,5058,5140,9412,10373.21094,10309.17914,11196,1992,,306,1904,2935,2558,1274,1471,
Andorra,AND,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,145300,151200,159800,173400,201400,215500,252000,274500,295700,314400,330000,341600,324500,352300,349000,344800,340700,334500,355500,356900,354400,319800,370600,390200,405800,388600,408400,407400,402500,441200,470300,470936,473898,493857,553147,431300,471714,516679,504211,811221,1065038.011,1093318.561,1159025.939,1222183.5,1289638.767,1375862,1476812,1503553.38,1539592.754,1599362.272,664879.575,920600.238,
United Arab Emirates,ARE,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,4700,5400,6200,6300,7200,8300,9500,10000,8700,9500,10100,10500,12200,12800,15100,16000,18800,19400,26300,30100,34000,34200,38000,39000,41100,44400,48330,50783,54952,71224,87217,,,,,170588,240855.107,269521,311758,327076,352224,437638,463947,459137,455956,426157.272,185260,234612,
Argentina,ARG,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,71700,75600,79000,71100,79000,89800,90000,93600,96500,103700,114400,113800,103900,109100,101400,100500,102300,111800,106200,101600,114000,78500,86300,83300,99500,112400,131400,171600,144600,183600,168815,124493,113178,91657,90518,81298,74162,79465,74649,74546,92847.50654,90214.52053,101716.2689,145136.0207,134521,145585,149334,146631,161862,163106,27447,54218,
Armenia,ARM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,4300,4500,2900,4406,2804,2997,3842,5657,5939,6177,5975,6681,7632,8761,5561,6043,852,0,,,,814,2133,705,1598,
American Samoa,ASM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3420.570755,3577.613861,3963.003648,8580,9144,,,,,,,,
Antigua and Barbuda,ATG,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,21300,35800,40200,45900,55500,65000,65000,61700,58000,58000,67300,68200,70800,74000,77700,77700,69300,70100,68200,62070,72001,63361,67163,25700,26985,26175,27746,28356,26371,39865,36533.604,33606.03922,52572,46404,40047,40928,24019,23206.96627,21930.58313,64,2105,
Australia,AUS,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,283300,288000,283800,256500,18700,18700,29300,246600,259100,259000,257700,230800,222700,230500,214200,238600,266600,283300,294400,230300,255900,283600,324600,347700,405600,396100,371200,394500,378200,384800,382514,388734,536867,529648,324939,342509,352909,353546,393363,403256,572906,593145.0025,622917,641451,664970,668961,682937,672349,665384,684170,310837,383008,
Austria,AUT,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,14900,16500,18400,20900,20000,21000,23100,24000,25800,26100,27200,27800,36400,37700,38000,37800,37700,38700,40100,39900,42000,47400,63600,73000,87700,109000,118100,121300,127900,127200,138700,133561,135516,128449,137049,141968,149512,151070,150738,138942,176195,166729.9973,162715.736,166251,162576,152056,149030,156761,130260,330226,121668,161093,
Azerbaijan,AZE,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22200,22200,19600,19500,17200,10100,8500,8012,7922,8175,9195,11090,12470,12777,13039,12008,10264,9885,15082,16597,15886,21910,23781,24009,20699,19960,28974,11648,15844,
Burundi,BDI,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,300,300,400,400,500,500,500,500,600,600,400,900,900,900,900,900,900,900,900,1000,1000,1400,1400,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,40800,40700,41000,40400,37300,36100,39900,42800,46000,48000,47800,43000,40400,39100,40400,43200,45300,45900,51200,59700,66500,70000,77100,109100,118700,141200,164700,182700,213000,233300,225906,178331,133682,132779,154218,151939,158016,173818,179019,249997,127677.5322,131577,132099.3425,130230,132976.5296,141116,147324,145540,140674,137206.817,57072.125,73673.104,
Benin,BEN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,1400,1300,1000,1100,1000,1100,1200,1100,1100,1200,1100,1600,2000,2000,2000,2100,2700,2600,2600,1100,500,1200,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,,,,,,,,,1255.454545,1381,1381,1728,648,1209,10,,,,,,
Burkina Faso,BFA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,1600,1500,1200,1300,1300,1400,1600,1500,1600,1600,2300,2200,2300,2300,2300,2400,3600,2700,2800,2800,2200,2900,2800,3000,3000,3100,3300,1800,1800,3300,3368,1983,1257,1285,1415,1471,1512,1614,1413,1433,4235,3983.150259,3856.224563,3780,3672,3875,3861,3863,3988,4105,1790,3007,
Bangladesh,BGD,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,13500,13000,14200,13400,13000,13700,14800,13500,13400,13700,14300,11800,13600,15000,15400,13100,14600,13000,13800,14600,15600,13000,12600,13100,12800,11900,5900,6313,6486,6464,7165,7403,7399,7971,11139,11308,16399,19299.82618,26535,26996.25441,59064,65364,55864,59728,70503,53061,68351,42827.89,50991,
Bulgaria,BGR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,17900,17800,18400,19000,19800,20100,22000,22200,22800,26600,27000,27000,34500,38000,39100,37000,38700,40000,39800,35900,37200,15300,16500,17300,16900,14700,13600,12700,14600,15200,12158,6687,2252,4577,7848,9691,12471,12221,15974,11237,11321,12297,11826,11736,11755,11768,12187,11748,11435,10111,6295,464,
Bahrain,BHR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,8300,7700,8300,8800,4700,5400,6200,6300,7200,8300,9500,10000,8700,9500,10100,10500,9600,8800,9400,10000,10900,10000,12900,14700,15200,13400,15400,14400,12300,20900,21303,20492,19752,28508,32488,,,,,69808,62473,60778.71626,63711.97917,52452,55980,57444,55592,54474,57094,57321,17591,29475,
Bahamas, BHS,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,15900,16000,16500,17200,29900,32000,8200,9200,9100,8400,18100,18000,18300,19500,20200,18900,18900,16700,17700,17700,19300,20100,9100,9300,31100,31416,29395,26493,24455,29817,33211,33723,34402,33433,30267,26395,28393,30640,34188,53366,48535,49095,48017,54000,47733,31284.792,27092.684
Bosnia and Herzegovina,BIH,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,4300,4768,4530,4394,4570,,,,,1004,1359,1573.549757,1060.065672,750.069403,552,420,81,,,,108,44,,
Belarus,BLR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35300,35300,35300,31800,5600,5700,6100,5772,5891,5545,6047,6211,5407,5646,6210,6371,5868,12101,14378,14608,17820,21168,22939,26857,29562,31676,35741,16611,12432,
Belize,BLZ,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19855,31755,59089,71401,112760,120072,121581,141319,125681.6909,141329,130792.986,95608.657,
Bermuda,BMU,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,11800,11500,11900,11500,11400,14600,13800,14800,16400,17800,18500,16700,15000,15500,14900,15400,17400,15300,15900,16100,15600,15100,14000,12600,15300,16600,31700,34700,32000,24000,21566,20007,20560,28901,25764,25644,21978,24089,21088,19011,37019,40751.45072,41974.6792,33467,51017.00187,42682,45722,54102,56592,49931,31354,45832.196,
Brazil,BRA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,137700,149300,156700,173200,204800,209100,206100,194900,193000,211100,232500,236900,240200,259900,337100,335100,367900,386200,401900,398700,415900,457700,405500,400100,408300,453500,483600,568600,609900,692600,628081,654106,627878,486777,486025,514700,560838,649738,647753,752225,841793,970561,1002565,952307,937437,944557,826943,803846,832683,814301,393769,529115,
Barbados,BRB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,100,200,400,300,400,500,600,600,600,300,400,300,300,300,500,1400,1100,700,700,700,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,3500,3700,3600,3400,3500,3600,4400,4400,5100,6700,9600,11800,12200,13600,13600,16200.00098,12739,12237,11953,11812,13322,11808,12381,12128,13071,12274,12333,11672,10374,10920,10392,11624,11058,10743,11310,14091,4233,1186,
Bhutan,BTN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,600,600,600,600,600,600,900,900,1000,1000,1100,1138,1297,1948,1890,2306,2467,2566,2720,2772,2706,3053.399927,4146.031775,3553,5820,8772,4640,6065,4215,5187,5067,1311,696,
Botswana,BWA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,1600,2700,2600,2600,2600,2800,3500,3300,4300,4600,4900,5800,6700,6300,3800,3600,4000,4200,4900,5400,5900,6703,7138,7304,7214,7885,8181,6905,7366,6105,6142,7681,7910.25856,8422.23448,9396,8304,7741,7933,7002,6774,6533,,2593,
Central African Republic,CAF,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,3600,3600,3300,3400,3400,3700,3900,3800,4100,4200,4300,4000,4200,4100,4200,4300,4300,4300,4400,4400,3800,4500,1100,1300,1300,1300,1500,1500,1500,1500,1518,716,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,305200,292500,291400,348900,371900,363800,352900,348000,349200,357700,382000,383600,344000,325300,343600,351900,343000,333800,380900,370200,346800,257800,258700,243700,253500,282800,305800,310800,317800,319600,963468,982013,263906,1036092,988755,1018480,1042100,1188947,1200361,1198381,1234528.619,1245743.616,1280198.186,1263297.337,1290419,1322033,1359442,1443818,1250460,1215983,511637,571070.076,
Central Europe and the Baltics,CEB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,72700,88900,100300,105300,110900,120200,140700,143100,142900,150900,142600,119000,103300,118200,127900,127300,133300,133000,130000,133200,129000,93800,116900,143800,151200,158500,167200,183500,188200,205200,220821,237439,235443,268637,314685,347743,363872,397337,415443,405656,459987.6055,458432.2124,409115.8317,407489,414473.868,420199,436849,484988,549291,566402,235446.363,275557,
Switzerland,CHE,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,84600,86500,83100,85700,87700,89500,89300,90500,93600,95300,97700,95900,109200,111400,111600,115800,122200,122700,132000,145900,152100,150800,157600,168900,174900,191200,218200,220800,250300,276300,289031,284899,242800,189121,144703,134839,125126,139124,158788,168280,224807,244994,257233.2543,266128,263267,250094,229530,216436,219782,225755,81283.2,96369.999,
Channel Islands,CHI,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,24900,27000,24800,21200,21500,16600,14300,14800,14100,12500,13700,18300,20700,19200,20100,25300,26300,29000,35300,36000,40100,36600,48200,58600,68800,77800,93700,109300,119100,92500,87945,82942,78187,82789,86140,93003,94770,101008,108565,97473,108840,123739,125120,127631,124480,116532,116238,124316,134661,143964,72839,95001,
China,CHN,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,21200,26600,27700,28800,34000,63000,51000,57300,69800,74000,92500,102200,127900,159700,176900,159200,196000,190300,200300,261600,325900,397600,493000,470200,510500,547800,572921,840911,932064,946354,1209900,1349269,1542564,1753550,1853088,2140124,2377789,2538667,2779741,3073450,3356756,3616026,3952098,4359033,4692008,4963752,3667920,3906386,
Cote d'Ivoire,CIV,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,4300,3900,3800,4000,4000,4600,4900,4900,5100,5200,5600,10300,10400,10400,10700,6100,6100,6700,7100,5600,5400,4900,5000,4600,4300,4400,4600,3500,3500,6300,2342,716,,,,,,,,,5604,907,415,3912,4032,9068,9463,14884,14666,16616,8030,11812,
Cameroon,CMR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,3800,2800,2300,4000,0,3700,0,7200,6500,10000,8300,8400,8500,8200,8100,8200,6100,6200,6200,9700,7100,7000,4100,4100,4200,3800,3800,6500,6600,5400,5580,10103,4720,9524,10337,10696,10925,11650,9471,9501,0,3036,4938,5640,5640,5499,8212,5640,5550,2336,1169,5017,
Congo  Dem. Rep.,COD,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,8300,7900,8100,8900,12000,19200,18600,15800,14100,13600,11800,12200,9200,7400,7600,3900,5000,5200,4500,4800,5100,3500,3000,2600,3900,,,,,,,5200,,,,,,,,,1945,2295,4781,11448,11580,12476,11513,18757,8271,7532,3787.864,4874.098
Congo  Rep.,COG,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,3700,3700,3400,3600,3600,3800,4000,4000,4300,4400,4300,5300,5600,6100,6000,6400,6700,4400,4500,4700,4100,4800,4700,4900,4900,6300,5400,10200,10300,6000,6257,5235,4505,4783,,,,,,,3755.333633,4817,7011,12132,10380,11462,10604,8439,4976,4990.79,1090,1929
Colombia,COL,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,145800,125200,115400,103300,75700,70300,69200,63500,69300,70100,65500,69400,157900,158800,133300,124100,123900,118200,118600,127000,116900,124500,147100,167200,181500,193700,195200,224800,234700,208600,199370,190465,179994,171933,153204,162095,175006,185872,187382,196298,226094,237570.829,254059.929,304365.908,349864.363,368947,366188,355039,358874,371985,139029.18,273874,
Comoros,COM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,1100,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1600,2400,4800,7300,7600,8100,6100,6700,6700,6700,6700,6600,6800,6800,6800,7100,7400,14600,14800,12100,13010,8745,8735,9434,16612,19905,19862,21086,12236,11560,10363,10658.07129,10555.22865,8148,7728,7989,8745,4868,9385,10205,4248,1625.248,
Costa Rica,CRI,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,14400,14400,11600,12100,12300,11800,12000,10100,9300,9400,13800,12700,12600,11700,12400,8500,8400,9200,10800,11400,12500,13300,15100,16900,18300,26900,20800,24300,36900,32000,24297,32270,32605,31219,33517,36045,36170,37284,36786,33285,41600.55497,43354,40081,42831,50239,41544,46405,48971,40014,44878,11696.8,19350,
Caribbean small states,CSS,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,35100,34100,35300,27400,28800,45500,60300,55300,54200,72100,76400,72600,99200,111600,113900,134100,136300,133600,133000,131800,126300,137200,134300,139300,144800,149500,137200,112900,114300,148100,138632,155940,137987,137727,100958,101132,99817,104274,104600,92285,126300,147475.4384,171025.6263,198637,252495,247773,245933,250510,242734.9291,,,,
Cuba,CUB,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,15600,17900,19400,17400,15200,15800,17100,13300,17100,17500,17200,15900,18000,20300,17100,16000,18700,19400,17600,18900,19400,12000,9900,8600,12500,12800,14400,16800,19700,15700,12264,11728,9773,8998,10937,11484,11533,11874,11686,10653,21235.45028,18302.85837,15869.7722,23292,15468,17592,20058,13144,8830,7146,2123,756,
Curacao,CUW,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,2600,3100,4000,4300,2000,3500,4700,5200,5200,5400,6200,5700,5700,5900,6200,6100,6400,6400,6600,6700,7600,8000,10300,10800,11500,10900,10600,11500,12000,12100,12551,13321,15081,16908,19073,17392,17530,19131,19399,18556,15318,12430,13296,11724,9000,306,2994,8698,5456,3326,1118,1423,
Czechia,CZE,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,12500,31900,39900,38900,42200,46000,60300,46100,47000,48000,39100,29300,18700,20000,20900,21700,22200,21800,22100,24200,22300,20200,23100,24800,23500,26100,26900,28300,29500,34800,40027,44164,46574,52127,66134,75295,75439,75830,78377,78153,72137,61476,44189,54948,48975,38304,43878,50387,70828,44051,9831.363,11231,
Germany,DEU,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,143100,153800,166100,151900,180300,176800,179300,181200,183500,183200,187300,186600,188500,195400,201900,214700,234100,269100,294300,310800,344200,406600,458000,459200,521000,526600,566600,645900,673300,709800,738297,762178,796129,844881,937143,1023858,1084821,1126699,1154472,1080553,971803.4316,1021899.939,985668.7692,954874,946082,967453,962803,955827,922648.6435,896647.181,312142,368400,
Djibouti,DJI,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,1500,1500,2800,3100,3200,3800,3900,3200,3900,2100,3900,3900,3900,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,50600,64700,69800,70700,67200,66100,67700,67600,70000,74300,69700,64000,69200,77700,62000,75400,82800,85000,84600,87500,90600,87400,91100,101900,97200,101600,107800,118600,114600,106300,109369,110492,97713,90641,99598,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,8600,3900,3900,4200,4200,3700,10000,11300,10700,5900,5000,4300,5600,6100,6800,6800,6200,5300,6100,6000,9500,4500,4300,3900,3000,2800,1300,1400,1400,400,,,,,,,,,,,1552,2286,2303,1908,1584,1421,1170,,,7062,2497.4,3106,
Algeria,DZA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,14800,17400,19300,26200,29300,31900,34400,32900,35000,34800,36500,38200,38700,40300,43400,46200,50500,48400,49400,45700,44100,45600,45900,45400,45500,47000,45100,49600,44200,36400,40202,49274,46015,44315,48531,45692,44822,44136,31026,52731,53088,53286,54292,55516,60066,65940,73465,74714,77463,76049,18719,27650,
East Asia & Pacific (excluding high income),EAP,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,305900,335000,352000,355500,364500,410900,420500,460300,478800,489500,591400,604300,637600,699800,765400,740800,804100,823400,889900,910000,1039100,1138400,1304200,1223700,1241700,1149800,1215806,1522837,1615064,1586155,2067761,2219532,2454357,2702754,2798473,3092984,3847811.597,4199862.077,4541090.004,4876787.318,5445123.692,5872462,6431220,6919472.67,7387203.841,7629160,4901478.069,4732454.516,
Early-demographic dividend,EAR,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,851900,785500,848000,903200,922300,1010000,1094400,1135000,1180300,1264700,1329500,1335400,1356200,1443000,1538700,1537900,1539900,1575700,1595600,1628300,1603200,1559100,1692000,1695900,1828700,1804800,1925100,1985900,1992200,2043100,2077309,2197664,2027711,2065419,2360942,2441945,2670479,2893009,2852615,2986969,3940298.167,4158415.086,4357526.487,4574583.464,4976915.633,5220321,5700375,5886141.088,6219620.061,6098318,2897143.22,3558135.85,
East Asia & Pacific,EAS,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,804900,823000,853800,1094900,1147700,1222500,1232000,1250500,1262800,1289200,1393400,1440800,1518900,1618700,1744300,1745100,1819300,1996000,2142700,2236200,2467300,2644000,2898700,2976700,3010400,2784900.001,2884999,3230312,3472124,3421353,3681701,3879996,4174539,4441653,4597611,4885072,6334923.952,6627354.955,6896897.7,7391410.046,8025736.249,8575632,9231486,9792841.59,10258516.84,10575048,6395637.389,6315893.499,
Europe & Central Asia (excluding high income),ECA,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006600,897200,830600,703400,611000,512600,583000,585153,614331,607061,639807,699078,716247,783495,839583,939316,948612,1121064.227,1270621.386,1365184.82,1519945.503,1654043.72,1759692,1797519,1893325,1966459.545,2023942.332,1138030.126,1545075.302,
Europe & Central Asia,ECS,Air transport - registered carrier departures worldwide,IS.AIR.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3665600,4699400,4752600,4875900,5087200,5391600,5502800,5933900,6236642,6291425,6044393,6113024,6481841,6300264,6602653,6941099,7106264,6941775,7595375.372,8015873.074,7963663.983,7995554.412,8165780.345,8426406,8693238,8799738,9059612.787,9217856.065,3825022.622,4864895.695,
