Passengers,Fatalities,Ratio,A̱o
57053400.0,1920,0.0033652683275668055,1970
57472700.0,1784,0.003104082460020149,1971
48266700.0,2795,0.005790741857222475,1972
59104500.0,2323,0.003930326794068134,1973
64818300.0,2242,0.003458899724306253,1974
65460400.0,1460,0.0022303560625966234,1975
68047200.0,1836,0.0026981271823087504,1976
69954100.0,2102,0.0030048274511429635,1977
71850200.0,1444,0.0020097369248798197,1978
75471300.0,1835,0.00243138782557078,1979
76474700.0,1717,0.0022451869703313644,1980
74058500.0,1168,0.0015771315919172006,1981
75014300.0,1708,0.0022768992045516653,1982
78414700.0,1564,0.0019945239859363102,1983
83074400.0,921,0.001108644781063721,1984
86193400.0,2590,0.0030048704425164803,1985
90909400.0,1405,0.0015454947453178657,1986
95022300.0,1632,0.0017174915782926744,1987
99214000.0,1945,0.0019604088132723204,1988
100073400.0,2210,0.0022083790497774633,1989
104097400.0,1125,0.0010807186346633057,1990
102550700.0,1725,0.0016820948077390014,1991
110455000.0,2012,0.001821556289891811,1992
122241100.0,1508,0.0012336276424214114,1993
130636000.0,1800,0.0013778743990936649,1994
135831500.0,1437,0.001057928389217523,1995
142650800.0,2314,0.0016221430233829743,1996
147828600.0,1632,0.0011039812323190505,1997
148889300.0,1503,0.0010094748245844396,1998
156460200.00498,863,0.0005515779731666785,1999
164061632.0,1420,0.000865528388746005,2000
167639843.0,1333,0.0007951570319712121,2001
157508686.0,1371,0.0008704281870524905,2002
160258485.0,1279,0.0007980856676637121,2003
178792610.0,662,0.0003702613883202443,2004
183421377.0,1294,0.0007054793836816524,2005
190000848.0,1118,0.0005884184264272336,2006
200680794.0,888,0.0004424937645004534,2007
198164850.0,713,0.00035980144813775,2008
203710342.0,1083,0.0005316372204608052,2009
239528146.19543275,1044,0.00043585691977434364,2010
249548745.40673098,720,0.0002885207853185143,2011
254019678.482625,580,0.00022832876707214324,2012
261973113.00803,280,0.00010688119738128143,2013
271463885.83433,1142,0.0004206821089627163,2014
281581942.481849,759,0.00026954853472144284,2015
293505324.0,515,0.00017546530092926014,2016
303145868.79999995,214,7.059307812675033e-05,2017
315111539.9714002,874,0.0002773621048849322,2018
321036912.80223,305,9.50046514395342e-05,2019
170660557.2284,355,0.0002080152589241187,2020
201393365.689,178,8.838424214771552e-05,2021
